City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Phalodi,IN,27.1333,72.3667,87.06,27,100,10.51,overcast clouds
283,Alta Floresta,BR,-9.8756,-56.0861,86.0,66,20,6.91,few clouds
284,Hamilton,US,39.1834,-84.5333,66.2,82,75,16.11,broken clouds
285,Gorahun,SL,7.4661,-11.2375,77.14,85,100,3.51,overcast clouds
286,Avera,US,33.194,-82.5271,84.2,48,40,13.8,scattered clouds
287,Bowen,AU,-20.0167,148.2333,66.2,88,75,8.05,broken clouds
288,Rutul,RU,41.5357,47.4239,59.0,94,90,4.61,overcast clouds
289,Kulevcha,UA,46.0303,29.9361,48.33,87,2,6.2,clear sky
290,Erenhot,CN,43.6475,111.9767,41.61,22,100,3.91,overcast clouds
291,Port Moresby,PG,-9.4431,147.1797,71.6,94,20,2.3,fog
292,Itoman,JP,26.1247,127.6694,62.6,82,20,1.14,few clouds
293,Ayagoz,KZ,47.9714,80.4392,56.57,81,64,10.36,broken clouds
294,Killybegs,IE,54.6333,-8.45,44.6,76,40,8.05,scattered clouds
295,Hecelchakan,MX,20.1667,-90.1333,102.2,29,20,8.05,few clouds
296,Pacific Grove,US,36.6177,-121.9166,62.6,63,1,12.66,clear sky
297,Cayenne,GF,4.9333,-52.3333,82.4,78,20,3.44,few clouds
298,Kemin,KG,42.7846,75.6892,62.62,41,0,4.32,clear sky
299,Sydney,AU,-33.8679,151.2073,55.99,88,20,8.05,few clouds
300,Marsh Harbour,BS,26.5412,-77.0636,77.02,73,100,15.3,overcast clouds
301,San Patricio,US,28.017,-97.5169,86.0,66,90,6.91,overcast clouds
302,Palauig,PH,15.435,119.9045,78.35,75,73,3.27,broken clouds
303,Bathsheba,BB,13.2167,-59.5167,77.0,65,20,11.5,few clouds
304,Kribi,CM,2.95,9.9167,79.03,82,100,4.29,overcast clouds
305,Clyde River,CA,70.4692,-68.5914,26.6,100,90,11.5,overcast clouds
306,Kutum,SD,14.2,24.6667,80.13,12,54,8.43,broken clouds
307,Quthing,LS,-30.4,27.7003,52.02,92,100,1.54,moderate rain
308,Merrill,US,45.1805,-89.6835,62.6,42,20,18.41,few clouds
309,Cap Malheureux,MU,-19.9842,57.6142,73.99,90,22,5.01,moderate rain
310,Adrar,MR,20.5022,-10.0711,86.65,23,71,17.25,broken clouds
311,Bitung,ID,1.4451,125.1824,75.2,94,20,1.14,few clouds
312,Yara,CU,20.2753,-76.9533,88.16,45,61,3.44,broken clouds
313,Plettenberg Bay,ZA,-34.0527,23.3716,57.36,77,80,4.38,light rain
314,Lhokseumawe,ID,5.1801,97.1507,78.4,85,100,2.95,overcast clouds
315,Vila,PT,42.0304,-8.1588,48.99,81,83,3.0,broken clouds
316,Changli,CN,39.7042,119.1506,46.09,53,3,2.86,clear sky
317,Mantua,IT,45.1667,10.7833,59.0,94,64,5.01,broken clouds
318,Biloela,AU,-24.4167,150.5,60.78,90,79,7.56,broken clouds
319,Nago,JP,26.5881,127.9761,62.6,94,1,4.61,clear sky
320,Mwinilunga,ZM,-11.7358,24.4293,64.45,92,95,2.3,overcast clouds
321,Grand-Lahou,CI,5.1367,-5.0242,81.28,83,100,8.88,overcast clouds
322,Oriximina,BR,-1.7656,-55.8661,79.86,83,90,2.44,overcast clouds
323,Santa Cruz,BO,-17.8,-63.1667,78.8,41,20,17.27,few clouds
324,Zarubino,RU,42.63,131.0922,42.17,67,100,9.37,light rain
325,Provideniya,RU,64.3833,-173.3,30.2,64,0,4.47,clear sky
326,Port Keats,AU,-14.25,129.55,78.42,67,85,7.67,overcast clouds
327,Vangaindrano,MG,-23.35,47.6,71.33,91,16,4.9,light rain
328,Asau,RO,46.4333,26.4,50.0,65,9,4.9,clear sky
329,Karasjok,NO,69.4719,25.5112,26.6,63,75,18.41,broken clouds
330,Konstantinovka,RU,49.6167,127.9833,43.0,51,100,6.4,overcast clouds
331,Namatanai,PG,-3.6667,152.4333,79.99,81,64,5.26,broken clouds
332,Galesong,ID,-5.3166,119.3661,73.4,100,20,3.44,few clouds
333,Floro,NO,61.5996,5.0328,44.6,49,0,8.05,clear sky
334,Maragogi,BR,-9.0122,-35.2225,77.63,84,86,8.88,overcast clouds
335,Qasigiannguit,GL,68.8193,-51.1922,41.0,52,100,2.3,overcast clouds
336,Marsabit,KE,2.3284,37.9899,67.95,70,69,8.16,broken clouds
337,Te Anau,NZ,-45.4167,167.7167,51.44,94,100,4.0,overcast clouds
338,Lazaro Cardenas,MX,17.9583,-102.2,83.59,63,89,11.59,overcast clouds
339,Indiana,US,40.0003,-86.2503,62.01,82,90,12.66,overcast clouds
340,Tame,CO,6.461,-71.73,77.7,86,100,2.21,overcast clouds
341,Westlock,CA,54.1502,-113.8688,42.8,93,100,12.66,overcast clouds
342,Koutiala,ML,12.3917,-5.4642,96.48,23,99,5.53,overcast clouds
343,Ambur,IN,12.7833,78.7,81.54,71,74,3.58,broken clouds
344,Kizema,RU,61.113,44.8302,29.19,86,54,4.81,broken clouds
345,Luderitz,NA,-26.6481,15.1594,57.33,71,0,23.26,clear sky
346,Ostrovnoy,RU,68.0531,39.5131,22.39,89,87,10.04,overcast clouds
347,Rajanpur,PK,29.1035,70.325,89.15,24,26,13.98,scattered clouds
348,Hasaki,JP,35.7333,140.8333,59.0,77,40,8.05,scattered clouds
349,Nouadhibou,MR,20.931,-17.0347,68.0,83,40,14.97,scattered clouds
